Date,Close,High,Low,Open,Volume
2020-09-16,1007.83203125,1012.0939712943417,975.695795357352,985.5424495975835,5342544
2020-09-17,1016.111083984375,1024.7330368957223,989.6575116061885,998.2304285806007,3069437
2020-09-18,1063.9234619140625,1099.586818685108,1048.7371525956091,1053.2440333766015,15274487
2020-09-21,1019.4912109375,1075.6314915349992,1009.4486522697281,1063.8743496800466,4118958
2020-09-22,1018.7073974609375,1032.22815901567,997.2016125995183,1019.4912547915851,5220254
2020-09-23,995.9769287109375,1032.3750467298837,981.721405294637,1032.3750467298837,3211053
2020-09-24,959.774658203125,998.3772979618519,951.5936708983794,988.5796797286639,2899900
2020-09-25,978.68408203125,1002.1493292076018,958.2070365730665,967.0248927378493,3803230
2020-09-28,988.53076171875,994.3603568702347,961.1464051869266,988.1878091804747,4089142
2020-09-29,977.9493408203125,993.4785426408353,973.8833051134026,993.4785426408353,2642123
2020-09-30,987.0121459960938,1004.2559312368761,972.1687295315028,979.7618841335377,5227238
2020-10-01,1007.0482177734375,1011.1142534684965,986.6202066305968,1010.1344915949805,4893786
2020-10-05,1017.1886596679688,1026.790373211597,992.1558172718015,1007.5380297939136,2928369
2020-10-06,1005.57861328125,1032.5220658296337,1001.0227562757489,1024.4390300651185,2631466
2020-10-07,1005.1376953125,1017.9235155612482,997.7894815144261,1010.7222899591026,1833860
2020-10-08,1022.1365966796875,1028.749989469132,992.7927159724649,1010.0365611997092,2859013
2020-10-09,1008.370849609375,1034.4815268688526,1004.2558976734764,1027.4272893787877,2443002
2020-10-12,1025.3209228515625,1027.7703278273189,1004.2560400600588,1009.1548500115713,2276510
2020-10-13,1033.8446044921875,1065.7849348820841,1024.1450583429303,1028.7498909673286,9418725
2020-10-14,1015.2291259765625,1039.9681113450883,1001.8554133305556,1039.527266376472,3491057
2020-10-15,983.239990234375,1020.9118452359339,975.9897884418245,1015.2291786797155,2854331
2020-10-16,1019.34423828125,1024.732928380238,977.8023125072672,983.2399787380807,4437148
2020-10-19,993.6744384765625,1024.830852037411,989.5594269194886,1023.7531379676627,2712791
2020-10-20,988.2857666015625,1008.9097410946429,982.8970765544437,994.4582541500971,2666057
2020-10-21,982.2601928710938,994.3602871318357,968.0046704634221,991.5189539564607,3132940
2020-10-22,973.2463989257812,987.2080051326086,957.8151499603406,987.2080051326086,2891815
2020-10-23,971.3848876953125,989.5594578573629,966.4371023660091,973.8832684259592,2799672
2020-10-26,943.4127197265625,977.4594443908882,938.0730056249796,972.8545516849382,2858748
2020-10-27,937.8770141601562,956.1495962562387,930.8227170061765,944.490406529528,2668443
2020-10-28,922.7886352539062,952.916310859997,916.2242789780396,938.611812378372,2746403
2020-10-29,906.0347290039062,927.3935243889193,902.360622235845,918.5266920153144,2504089
2020-10-30,890.8484497070312,910.1987459750696,887.076390557026,906.2796986296441,3532104
2020-11-02,894.03271484375,899.3234529118342,881.8346674867199,893.5428339041096,3207153
2020-11-03,918.3307495117188,922.8866659323184,897.4618345333181,898.4415963614113,4071127
2020-11-04,925.5320434570312,943.2167326590063,920.7801626665272,925.8749361800942,4826211
2020-11-05,917.0570678710938,934.4968163898557,903.1444380011003,919.9963533450396,5867246
2020-11-06,898.3436889648438,925.3361167169184,894.6695819259974,920.97616440417,3841154
2020-11-09,899.3724365234375,908.1902935102789,887.3703534024589,906.0837815323433,4269584
2020-11-10,841.3214721679688,901.3808587298788,838.0392342480795,901.3808587298788,7111012
2020-11-11,892.6610107421875,894.9145108702608,847.4940127129447,852.3928220349849,7548412
2020-11-12,877.3767700195312,918.2328526772421,870.5674129432595,889.623793609977,7637696
2020-11-13,883.1083374023438,888.7910040869778,872.624933235679,881.7856827981141,3823102
